'Page Number','Arabic Word','English Word','URL to Arabic Audio','Verse'
'579','عَيْنًۭا','A spring ','https://audio.qurancdn.com/wbw/076_006_001.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','يَشْرَبُ','will drink','https://audio.qurancdn.com/wbw/076_006_002.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','بِهَا','from it','https://audio.qurancdn.com/wbw/076_006_003.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','عِبَادُ','(the) slaves','https://audio.qurancdn.com/wbw/076_006_004.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','ٱللَّهِ','(of) Allah','https://audio.qurancdn.com/wbw/076_006_005.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','يُفَجِّرُونَهَا','causing it to gush forth','https://audio.qurancdn.com/wbw/076_006_006.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','تَفْجِيرًۭا','abundantly','https://audio.qurancdn.com/wbw/076_006_007.mp3','عَيْنًا يَشْرَبُ بِهَا عِبَادُ ٱللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا'
'579','يُوفُونَ','They fulfill','https://audio.qurancdn.com/wbw/076_007_001.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','بِٱلنَّذْرِ','the vows','https://audio.qurancdn.com/wbw/076_007_002.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','وَيَخَافُونَ','and fear','https://audio.qurancdn.com/wbw/076_007_003.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','يَوْمًۭا','a Day ','https://audio.qurancdn.com/wbw/076_007_004.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','كَانَ','(which) is','https://audio.qurancdn.com/wbw/076_007_005.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','شَرُّهُۥ','its evil','https://audio.qurancdn.com/wbw/076_007_006.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','مُسْتَطِيرًۭا','widespread','https://audio.qurancdn.com/wbw/076_007_007.mp3','يُوفُونَ بِٱلنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا'
'579','وَيُطْعِمُونَ','And they feed','https://audio.qurancdn.com/wbw/076_008_001.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','ٱلطَّعَامَ','the food','https://audio.qurancdn.com/wbw/076_008_002.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','عَلَىٰ','in spite of','https://audio.qurancdn.com/wbw/076_008_003.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','حُبِّهِۦ','love (for) it','https://audio.qurancdn.com/wbw/076_008_004.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','مِسْكِينًۭا','(to the) needy','https://audio.qurancdn.com/wbw/076_008_005.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','وَيَتِيمًۭا','and (the) orphan','https://audio.qurancdn.com/wbw/076_008_006.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','وَأَسِيرًا','and (the) captive','https://audio.qurancdn.com/wbw/076_008_007.mp3','وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا'
'579','إِنَّمَا','Only','https://audio.qurancdn.com/wbw/076_009_001.mp3','إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ ٱللَّهِ لَا نُرِيدُ مِنكُمْ جَزَآءً وَلَا شُكُورًا'
